call_id,caller_number,callee_number,call_start_time,call_end_time,call_duration,call_type,call_notes
CALL001,683-314-8600x7520,8425335011,2024-05-27T18:05:11,2024-05-27T18:07:22,131,missed,Yourself purpose learn season word interest. Author identify protect recent direction their.
CALL002,9777717347,+1-756-311-8050,2024-11-15T10:18:39,2024-11-15T10:38:23,1184,voicemail,
CALL003,4237003925,001-824-783-5150x731,2024-05-09T15:45:15,2024-05-09T16:01:32,977,outgoing,Change indicate available trade argue total structure summer. Policy such recent go.
CALL004,+1-726-888-6205,001-563-725-9170,2024-05-06T02:36:14,2024-05-06T03:00:13,1439,incoming,
CALL005,001-242-221-2239x3077,783-999-1289x8315,2024-07-02T05:11:14,2024-07-02T05:41:35,1821,outgoing,
CALL006,(631)892-2517,001-587-901-4835x072,2024-06-23T23:58:56,2024-06-24T00:04:08,312,missed,
CALL007,695-851-2102,414.554.7164x488,2024-10-01T01:22:54,2024-10-01T01:34:58,724,outgoing,
CALL008,419-293-4877x8293,789-328-0902,2024-02-24T13:28:08,2024-02-24T14:09:53,2505,outgoing,Economic range room seek moment international. Party themselves relate late.
CALL009,+1-784-402-8729x39540,977-986-3519x12256,2024-11-13T09:46:07,2024-11-13T10:32:30,2783,incoming,None there student. Article debate culture each. Born position visit a perhaps mission.
CALL010,(256)221-2178,(690)907-2236x864,2024-05-21T20:14:17,2024-05-21T20:16:27,130,missed,There while physical else national man main.
CALL011,+1-975-883-6594x35762,417.845.6685x07034,2024-11-07T03:36:29,2024-11-07T04:12:33,2164,incoming,
CALL012,+1-744-346-4990,(719)549-5971,2024-10-30T00:29:48,2024-10-30T00:51:04,1276,incoming,
CALL013,226-865-2141x2989,+1-874-388-9993x9027,2025-01-28T18:38:00,2025-01-28T18:52:32,872,voicemail,
CALL014,+1-461-659-3071,929-607-5299x365,2024-10-29T13:30:49,2024-10-29T14:09:41,2332,missed,Thank together mission run name. Day bill voice amount.
CALL015,(715)446-7146,(307)876-4100x265,2025-01-22T21:19:54,2025-01-22T22:03:20,2606,incoming,
